FCL;WM;Expected
648.4798262019882;599.8296196009851;600.0
714.7740218095737;709.1433912355006;620.0
450.1259664948362;486.8457705910401;240.0
715.4834811794142;743.5123818538846;840.0
450.04947709951455;532.8269599898617;540.0
489.17170327670374;534.826921059422;480.0
430.74063030348987;467.18982880192345;580.0
490.16430695223437;527.7177547643822;560.0
555.2537821989989;556.3549836021227;600.0
776.0991743508472;771.601522446879;680.0
494.7776177079669;596.5454595276541;560.0
499.47675616830037;529.7331952873486;560.0
602.56127749226;559.844990580979;580.0
503.2374183753927;527.8531586401333;540.0
476.3191827332654;528.9994754841475;440.0
626.1017373804129;611.2263834544436;760.0
562.6210654658656;628.2011345529729;600.0
684.4356018679993;713.7441604641161;780.0
496.36936499599955;554.322451479777;480.0
788.8759305398605;824.0600449804746;960.0
501.8627782838441;508.6860515830798;400.0
512.2717416293967;572.6420438757609;520.0
527.294168295605;615.7826524474732;660.0
788.0175867880907;806.0215649269036;720.0
495.78552992364837;560.3683034743906;660.0
498.86655205307864;524.7847328315079;460.0
705.6886900707806;738.7124268829167;680.0
474.5934917387132;529.0682805628616;540.0
498.8878431411361;588.2098264568125;600.0
410.07617055096614;521.5960705821544;460.0
716.0663222293667;753.9564944151083;560.0
503.1898983131612;553.482067966487;460.0
586.454829824115;648.2092367889574;740.0
440.48417099261354;527.1878793172976;420.0
506.65136781158446;591.4264997029749;460.0
681.7761863064707;693.0736335905144;980.0
488.7581908557181;537.7085036442032;580.0
626.3815914235964;643.5111975017314;680.0
450.1189707658398;475.3447690700143;500.0
640.004904589862;656.2580655207115;820.0
489.1073955105068;535.7619006985096;560.0
508.8350523759243;571.165952419838;560.0
380.5132763375369;488.39344547567794;440.0
538.4588860552942;596.7944511176896;580.0
390.5521216849979;461.4456243959029;440.0
669.5635307303565;685.1911077322608;580.0
739.9745774983373;757.6753559549002;600.0
458.7862342051086;468.5048935148447;520.0
653.3638671875015;668.4102564102562;860.0
414.71544301726334;472.7710051759264;480.0
507.0067480878416;609.592399444447;580.0
519.5112809624948;568.4109704583719;700.0
457.0749210487619;482.83455142253047;500.0
463.1755870337606;515.00254560079;700.0
708.8205641712099;746.7253211797897;640.0
709.8529841312895;810.0999140006031;880.0
487.97392885402456;573.0909691716638;520.0
471.1174701683982;547.0987085203408;480.0
497.0480395186459;529.4467023771184;640.0
703.9500550641399;721.5253786304405;580.0
701.3257967559066;693.3563417642953;780.0
579.962546293334;566.3690359998245;520.0
596.1946474411476;657.9664328074997;680.0
779.2378427407665;788.7196421788806;740.0
500.1627534425642;542.3439770970257;560.0
538.3063138190236;567.5802900069484;560.0
592.8550016332581;654.0262368270389;400.0
492.38915795510275;552.5503305664486;400.0
535.3118578079677;556.208172904393;680.0
415.14444779217837;523.1604475756375;460.0
675.7356366453258;702.2973142229151;760.0
774.6271813828475;821.8546859999831;900.0
675.7715575777783;701.66605413023;740.0
518.0965501380758;546.1273514280997;580.0
439.06546627107974;434.7305160860481;480.0
538.6867929902995;563.313761523592;500.0
704.3394017259639;728.6088743967111;640.0
473.1276141242209;551.6107384369366;720.0
552.6226541521957;525.057528495898;600.0
697.1846516178439;679.263068697792;800.0
344.7451246240609;410.32214730241645;520.0
669.021350005553;676.6593645905762;760.0
698.535083596188;706.0929151685157;520.0
476.93280235292104;535.5476060105352;480.0
491.2762062778504;537.8696424774649;560.0
687.1165399537795;726.3701523808791;640.0
603.4945838789428;609.6700921568131;520.0
775.5729141840089;711.3168367460091;800.0
637.9669349939385;699.6057182862883;740.0
530.9163108587168;585.9336722561671;600.0
410.0418870192208;507.014665111626;520.0
635.4519457525166;684.9920801458483;940.0
633.0677811851509;691.2294247570251;780.0
553.9742706442779;584.6397470779418;580.0
391.8098428207667;436.53413819523035;540.0
451.35084244998563;448.9481188764405;500.0
504.9076772765036;553.1661841250103;580.0
498.6040375661006;547.8505604981735;440.0
551.9125390109599;524.4537085430843;580.0
793.6530014117653;829.7166898140732;940.0
496.82126240718753;544.4314814453571;540.0
663.6456922957682;665.1798284286557;600.0
557.0113423421933;588.0589641109361;640.0
416.8407913005266;504.6326689399479;460.0
721.0548481378067;687.9596562006669;680.0
319.4374504236451;404.85772145078187;480.0
809.8568288297697;768.8783434842805;760.0
452.43326323289085;519.6641949781421;360.0
659.5994535865628;629.3961924680391;800.0
499.26531311291694;558.4023891884492;720.0
744.2689613937074;730.522287266236;960.0
739.0350506680749;774.1845687171157;840.0
436.10232993364593;534.0517354165078;540.0
461.5752805866757;504.3981533892679;500.0
632.7186898155145;616.1960798631693;660.0
564.4514672778846;564.9264004024516;700.0
446.95950236863587;503.9948297698125;600.0
371.423786172605;435.66154324391835;360.0
551.7834440411001;575.5381172889524;660.0
612.9350791663082;641.2788761839305;500.0
715.7111048924402;724.640131258366;680.0
639.7700133955616;677.1076460973928;880.0
765.8846752668564;807.2805364773701;0.0
578.7085183845901;567.4061626447087;540.0
732.0618789746294;678.860887134112;760.0
737.9529263738867;765.880450292;780.0
458.0744798509422;473.68430840657214;440.0
486.1873808758735;539.4043484518081;600.0
461.4397654386269;531.6609671229063;440.0
623.2114714016152;637.3807440068591;740.0
448.25752621482684;485.963612274646;420.0
463.678567499988;534.6455147794572;320.0
767.8102420887728;789.2096540397653;640.0
495.1125729161815;538.3714793144288;320.0
713.509393507236;690.0813669497629;580.0
475.0701494309618;475.3995623394971;720.0
544.915552529475;542.6056388919429;380.0
605.2344360504206;593.832431763389;560.0
482.2792310212652;539.8178387047013;560.0
421.76173455548485;504.2135477519317;520.0
520.774789536295;530.8847658250218;360.0
463.6040868719213;482.6468002223957;520.0
584.7071442356065;608.5966151013209;680.0
545.5986819074386;536.932199799727;580.0
500.39857626169805;546.6029590532743;560.0
450.71878528149114;510.53148696344397;580.0
550.6449210706508;557.2203382623502;620.0
516.9092590602274;613.7669895614484;660.0
500.92879180788776;534.2160636701866;660.0
494.12801609925447;550.319331664343;540.0
472.97501008704313;520.7033132680518;560.0
574.5895995466566;574.3988884929652;660.0
724.1852056290868;683.626819952792;680.0
469.39066450428345;525.289123871192;540.0
511.05743630279215;562.3769657347844;580.0
475.8833451682871;535.1939487150416;320.0
321.28314502441833;366.1160615132653;460.0
436.6640401563558;495.17203689077917;520.0
435.91822333453905;511.92859351350046;380.0
490.0000000000051;492.2121896162527;0.0
412.4308252804013;491.7029980522119;520.0
527.4541860667846;594.1137916681658;640.0
755.6370254841933;707.7537686772247;800.0
734.998576834461;722.1837079562027;760.0
402.50406668857846;487.4240863556834;560.0
621.7600431002811;636.0883349720718;680.0
305.82254399878224;371.5690265565467;420.0
542.3997717531043;586.3001936706511;520.0
558.8389710074372;590.3866401242043;680.0
593.8569011497502;620.3387848884511;600.0
571.0509182539683;614.9138832644446;440.0
365.93716509097703;416.99265097721025;360.0
312.37786365178664;370.3313064763276;420.0
481.4168766063865;602.547986261107;460.0
533.5423128987943;566.259022456031;620.0
491.7818954290035;554.4479049638297;520.0
540.0546898208272;616.4686872953964;620.0
674.8456524815819;657.5993187247874;680.0
521.2056032113782;579.7378031686538;720.0
737.9992265285981;698.1527969343023;720.0
715.3213632047037;745.2198665278689;720.0
384.29846546856356;493.10605938205197;440.0
484.5298098808111;563.1725685249063;500.0
358.4915664348818;471.8835672713527;420.0
508.9631842123815;609.1410307115221;560.0
723.3302822995007;691.6963018919326;640.0
741.762896422145;684.1922306334856;780.0
543.3566435132691;538.6455490174584;500.0
529.7280443492193;609.6367416459617;600.0
368.23805609760655;417.2904664499339;320.0
737.9606001309565;735.0194696423089;920.0
535.2131243842229;616.7165349885742;600.0
622.0470966203952;673.0507826415891;540.0
436.18462444332965;481.4672556631213;500.0
454.19735464248384;528.9758943718731;0.0
605.3988249555168;643.307758640011;600.0
480.25845339417793;508.3064438120529;520.0
769.9996769131744;775.5231402033652;780.0
686.8540925363033;646.6622582800134;780.0
461.731294538254;497.1964214210497;500.0
339.7112224180177;335.05438091320445;400.0
784.0000000000051;757.1577350712103;820.0
585.2826019821402;593.9507130630403;720.0
546.5472068463864;544.5134546730238;640.0
591.2705845880367;613.1931441351527;520.0
440.75972240391565;474.8576891756379;560.0
422.21757480334554;468.1316662854694;440.0
676.0657113142304;656.2973975331665;640.0
553.378213762925;546.2067996248699;540.0
464.1486048840904;572.385084952191;540.0
505.64763050433146;537.564735868292;700.0
720.360954685716;700.1380101875149;660.0
522.420682612441;552.221077666295;200.0
515.0271924254438;540.1819259690197;380.0
453.00593232555906;437.02702702702686;440.0
789.8438912019675;782.1165166261309;800.0
527.0016385642074;533.2097514166976;480.0
536.3370260995492;606.0223501007506;760.0
545.1240913231848;529.6987884005476;460.0
415.0426544739825;481.9503332184319;740.0
484.87824149801486;536.6444039388887;500.0
382.8574108365759;454.81560933006983;360.0
501.4200765083457;546.8581176577533;520.0
744.3569284406602;700.4220693192364;800.0
561.1900675616394;630.6595175666826;560.0
584.0569090092033;562.9593449670109;440.0
554.2022333777446;538.4178302444251;540.0
445.8419080107216;535.0495110254905;400.0
711.38605489784;693.6729283563396;720.0
445.8147034910139;503.502487842443;460.0
569.5711488960492;581.115531093521;700.0
471.5439557961768;515.6807635604889;560.0
488.7105820254982;558.9626693140173;620.0
474.7442693108369;509.79431916108757;600.0
750.9896646952104;777.0230696324405;720.0
561.0617661451362;598.8973024418193;720.0
784.617584954806;809.3753843546776;720.0
605.9870816500704;637.5235327961257;900.0
516.994700776149;614.45509456167;660.0
510.38574066855256;591.2371739569809;500.0
388.415065366117;483.7686569747003;540.0
419.549183339376;470.8517958030372;500.0
420.6181109655644;499.1042090653073;480.0
651.3290396415925;642.6180204682346;880.0
748.9044944343395;725.6311592804063;720.0
498.9091071971952;533.4891815886443;520.0
700.6080561586158;711.4088901806315;660.0
470.3904193794133;533.7959553107657;540.0
474.4096421251762;517.5753747354265;520.0
737.0222402210842;755.5699318283416;720.0
656.5016029828331;611.0445411828265;620.0
708.0429117001041;714.9493182121638;580.0
418.41440240100326;460.1556959971637;540.0
582.4131290541343;490.2499462757642;520.0
506.77212577647623;553.727766131265;320.0
417.50333111616044;483.6757385651395;320.0
435.0365268696307;500.2352158011689;340.0
490.83478504156574;480.81266096383956;520.0
769.5187553656292;790.5654309959805;780.0
615.5863763444916;669.1931012120062;540.0
771.12728782468;800.2670938437825;840.0
591.0060595520048;605.827584463825;400.0
414.8604425496067;491.25429785328936;520.0
641.5547312286806;656.9155280826056;580.0
420.14959274253135;475.3299957347331;600.0
557.7619335443334;555.616157259058;760.0
580.2479734602871;574.5726446171764;940.0
718.5001694782931;720.7744541572936;860.0
655.1795112797589;669.8885066849047;760.0
682.2124795427517;639.3292151621399;780.0
728.4530933366806;698.06166428672;640.0
464.4507816741748;490.84272402501205;520.0
425.1077812827954;505.03860179743776;420.0
455.79504925997117;527.48162754132;580.0
405.03659569339584;471.6200543583985;580.0
472.50001821466907;595.2686784105841;800.0
375.2978341179899;465.422190371318;460.0
573.919850560701;565.8160565052376;540.0
442.06540918246816;519.1230131369019;540.0
653.9280266347246;648.4654183084382;480.0
642.931307479692;667.8292218350399;740.0
532.2007781582438;569.7237953560937;440.0
611.6128544496513;649.3405721311626;560.0
